COMID,role,region_1based,longitude_class_1based,area_bin,longitude,latitude,drainage_area_km2,truth_discharge_m3_per_s,truth_concentration_mg_per_L,observed_discharge_m3_per_s,observed_concentration_mg_per_L,water_storage_share_at_truth,chemical_storage_share_at_truth,start_prior_mean_discharge_m3_per_s,start_prior_mean_concentration_mg_per_L,start_sign_flipped_discharge_m3_per_s,start_sign_flipped_concentration_mg_per_L,start_uniform_inflation_discharge_m3_per_s,start_uniform_inflation_concentration_mg_per_L,weak_prior_control_discharge_m3_per_s,weak_prior_control_concentration_mg_per_L,prior_mean_discharge_m3_per_s,prior_mean_concentration_mg_per_L
74002826,train,1,1,0,-104.44333333333334,48.26500000000001,44.6421,0.6455194403747336,1.1946249508664133,0.6455194403747336,1.1946249508664133,0.08057599643330927,0.06388930759433084,0.6454551134350479,1.2185469725880542,0.6454551135924396,1.2185469745993818,0.6454551133461202,1.218546976111215,0.6454096002906625,1.2010108759739109,0.5166909722222222,0.9848565784452428
74010649,train,1,1,1,-112.68833333333333,45.602500000000006,47.4623,0.6881108727854305,1.18370241973707,0.6881108727854305,1.18370241973707,0.07773102683010243,0.06223258124426778,0.6879460929756195,1.2063521744503158,0.6879460931358096,1.2063521764781975,0.6879460928837796,1.2063521779592892,0.6879902701887376,1.189773999950051,0.5493321759259259,0.969016354480684
74029566,train,1,1,2,-105.7825,41.11166666666668,173.833,2.689241627266988,1.169196513372258,2.689241627266988,1.169196513372258,0.010002447329490656,0.007771329223647909,2.6796464788057786,1.1603967224518352,2.679646478726006,1.160396725393851,2.6796464787218333,1.1603967267001778,2.6884432378095973,1.166667788445358,2.0119560185185184,0.9689496985915764
74000171,train,1,1,3,-109.0475,49.5,1242.9656000000002,18.400175757221575,1.13572923608065,18.400175757221575,1.13572923608065,0.05549739069082797,0.030614891698924236,18.37566424050629,1.13809425299265,18.375664243204444,1.138094255403485,18.375664238668115,1.1380942567971128,18.396216224169738,1.1367421297207583,14.386175925925926,0.8760787540357514
74011932,train,1,1,3,-113.05666666666667,45.039166666666674,1116.5292,16.58691498256696,1.1531889742070482,16.58691498256696,1.1531889742070482,0.05177899376319884,0.03488159467358407,16.56178788207158,1.1589000595476695,16.561787884264835,1.158900061959072,16.561787880507662,1.1589000633489033,16.58323489547017,1.1548813798892046,12.922791666666667,0.9169230149103438
74054050,train,1,1,3,-104.49166666666667,36.63750000000001,1651.0423000000003,27.037231782020925,1.0931939567568076,27.037231782020925,1.0931939567568076,0.04585143384927769,0.02562264114325834,26.866548324064173,1.0670801849312292,26.86654831741011,1.0670801882869836,26.86654832550009,1.0670801893151258,27.026493228159172,1.0859921155726941,19.109285879629628,0.8877401863854244
74022075,train,1,2,0,-101.20416666666668,43.37916666666668,30.1227,0.44250953585265196,1.2060679695564827,0.44250953585265196,1.2060679695564827,0.0636317398066739,0.04258422327764134,0.4420969515439151,1.2171867080224599,0.4420969516227524,1.217186710385946,0.4420969514942742,1.217186711912154,0.4424207757190308,1.2090509637630622,0.3486423611111111,0.9949720004362466
74021793,train,1,2,1,-102.26500000000001,43.20750000000001,55.7902,0.8212859261989098,1.1979976593194492,0.8212859261989098,1.1979976593194492,0.061410949819289705,0.04454586036107016,0.8204305452916164,1.2104196897199107,0.8204305454308684,1.2104196920559114,0.8204305452022377,1.2104196935456095,0.8211179146678502,1.2012870671208766,0.6457199074074074,0.9895264513954419
74003707,train,1,2,2,-103.18083333333334,47.80166666666667,157.2626,2.3338005355569815,1.1801619672797303,2.3338005355569815,1.1801619672797303,0.052886948804115146,0.032975746609609564,2.3303921958167004,1.185061127233059,2.3303921961353145,1.1850611297127296,2.3303921955927516,1.185061131168365,2.3332873855942293,1.1815726808497495,1.8201689814814814,0.9544086698920853
74016289,train,1,2,3,-99.42583333333334,44.040000000000006,639078.8830000001,9527.732131984814,0.2790633134265059,9527.732131984814,0.2790633134265059,0.04805712508993533,0.0005658175119258115,9511.556087349238,0.27053389022021174,9511.556088471649,0.2705338909662889,9511.556086504435,0.2705338911193257,9525.554568440723,0.2783377009766708,7396.7463310185185,0.08231598810392349
74009332,train,1,2,3,-100.28583333333334,45.910000000000004,6335.3153999999995,93.95344598543134,1.0323590181908542,93.95344598543134,1.0323590181908542,0.053599493735967264,0.0115349338107164,93.81952411203947,1.0221624966031153,93.81952412512558,1.0221624990173612,93.81952410292276,1.0221625002811383,93.93290795864301,1.030657859697194,73.32540972222222,0.7073344752521689
74029195,train,1,2,3,-99.28166666666668,41.01916666666668,3108.3052000000002,48.18499544713269,1.0302712434706354,48.18499544713269,1.0302712434706354,0.007933451052967982,0.0015909998563076505,48.00817308825301,1.0172010935181255,48.00817308643733,1.0172010962072524,48.00817308689943,1.0172010972854568,48.17051113691153,1.0272467716652363,35.97575462962963,0.7505780542432038
74011232,train,2,3,0,-95.32833333333335,45.881666666666675,36.4676,0.2751497458514565,1.0807755844108518,0.2751497458514565,1.0807755844108518,0.15049725667810235,0.027263622224692564,0.2790261886926841,1.0121852287137092,0.2790261888002865,1.012185231062698,0.27902618824544734,1.012185231754291,0.27531465365588664,1.0658642685721211,0.4220787037037037,0.9859893237135823
74060409,train,2,3,1,-94.10083333333334,35.730833333333344,53.6037,0.5256253565431445,0.7550244469862396,0.5256253565431445,0.7550244469862396,0.11474990686614699,0.06179206430974475,0.5248758765567002,0.7540909855773336,0.5248758762369672,0.7540909872526463,0.5248758760803071,0.7540909860738405,0.5256119991341665,0.7538811767296216,0.6204131944444445,0.980088185958112
74038093,train,1,3,2,-98.84333333333335,39.75000000000001,210.24739999999997,3.3532903795590157,1.1372336110325094,3.3532903795590157,1.1372336110325094,0.020330704127085132,0.006931034676803066,3.3363271138091974,1.12092686632127,3.336327113315559,1.1209268694849384,3.336327113858087,1.1209268706365523,3.3521121998351022,1.132566240299347,2.4334189814814815,0.9461253668478987
74033975,train,1,3,3,-98.57083333333334,40.06083333333334,56516.520700000015,893.7775416634097,0.7168036083040934,893.7775416634097,0.7168036083040934,0.011979385503447256,0.0004233534449025154,889.6230234639113,0.7042194031142212,889.6230233612637,0.7042194051023489,889.6230234656736,0.7042194056256995,893.4769157134945,0.7146476072655852,654.1263969907408,0.3896114855689569
74020439,train,1,3,3,-97.07250000000002,43.39750000000001,2464.7981,36.87974605284969,1.0522255507584928,36.87974605284969,1.0522255507584928,0.04427157001869208,0.0017052115991746945,36.81027103485338,1.0368601422326644,36.81027103865698,1.0368601448297767,36.81027103179412,1.0368601461212787,36.87106649483752,1.0490923871588054,28.527755787037034,0.7287898768594882
74014316,train,2,3,3,-96.13250000000001,44.93083333333334,1476.44,21.213134121564753,1.0454776364794431,21.213134121564753,1.0454776364794431,0.05375115507375454,0.0009850258591612578,21.191419150179204,1.034441907389916,21.191419153050056,1.0344419089481398,21.191419147040744,1.0344419102802647,21.209003697527294,1.0430283973954546,17.088425925925925,0.8244780743599499
74068798,train,2,4,0,-90.57583333333335,33.14916666666668,32.4427,0.3194015458594797,0.7060283393446127,0.3194015458594797,0.7060283393446127,0.11828648491851422,0.13674286529519086,0.31888004690448357,0.7331407183290599,0.31888004670593867,0.7331407194315904,0.31888004661806085,0.7331407179575219,0.3193907685152135,0.7117849734035969,0.375494212962963,0.983437423528283
74046757,train,2,4,1,-93.58916666666667,38.08916666666668,66.0151,0.6325604062914852,0.7641887018334974,0.6325604062914852,0.7641887018334974,0.09408218194501733,0.05637078232951235,0.6324231264074085,0.7608172970365549,0.6324231260718846,0.7608172985973989,0.6324231257986535,0.7608172975294747,0.6325751243159652,0.7626120504842137,0.7640636574074074,0.9696037281135896
74062059,train,2,4,2,-91.77916666666668,35.06500000000001,225.8785,2.155806214096527,0.6937831470928496,2.155806214096527,0.6937831470928496,0.09047907217519406,0.05586698135378519,2.155792684553935,0.6943353183377613,2.1557926834397136,0.694335319101432,2.1557926824582005,0.6943353181184608,2.155874669520724,0.6931916337041509,2.614334490740741,0.9063318193574176
74048569,train,2,4,3,-92.04250000000002,37.59750000000001,1266.999,11.877405116656387,0.6625134887302772,11.877405116656387,0.6625134887302772,0.07401868503164624,0.04574533253666377,11.888765806061837,0.6615297325307667,11.88876580065964,0.6615297328440126,11.888765793985367,0.6615297320008887,11.878242758855007,0.6616805991566366,14.664340277777779,0.8620732070681528
74048394,train,2,4,3,-91.97583333333336,37.920000000000016,6653.786899999999,62.09821993453586,0.4675363112481807,62.09821993453586,0.4675363112481807,0.06988369552030561,0.025058333404461036,62.17263548431191,0.4706010425101556,62.17263545703525,0.4706010413146298,62.172635420476844,0.47060104072483944,62.103204146827515,0.46772086237060817,77.01142245370369,0.6675981727177008
74039991,train,2,4,3,-92.84083333333335,39.34083333333334,1022.39,9.283249621651539,0.6798982438331178,9.283249621651539,0.6798982438331178,0.043986367258154906,0.019245410193146014,9.308435940996318,0.6690899685491384,9.308435937824434,0.6690899688182445,9.308435930801656,0.6690899681948611,9.284560980246289,0.6768609320566179,11.833217592592593,0.8434806398027878
74054763,train,2,5,0,-81.25916666666669,36.59000000000001,31.6745,0.30923231558407394,0.7061477764972908,0.30923231558407394,0.7061477764972908,0.11085535667539055,0.16694411872988582,0.30886182763807857,0.7434900082356559,0.30886182745451285,0.7434900092362907,0.3088618273545453,0.7434900076612674,0.3092272938455467,0.7144975338974201,0.36660300925925926,0.9953083365020093
74052723,train,2,5,1,-88.74916666666668,37.30500000000001,63.0053,0.6111024898402806,0.7151559267537211,0.6111024898402806,0.7151559267537211,0.10502572639265607,0.12875811008966587,0.6105787059755943,0.739397838171826,0.6105787056262555,0.7393978392428133,0.61057870540562,0.7393978378494405,0.6111009568698599,0.7203065848328595,0.7292280092592592,0.9774687126271079
74032451,train,2,5,2,-82.48166666666668,40.60500000000001,286.2652,2.488728825616381,0.8611676536650607,2.488728825616381,0.8611676536650607,0.0015220032633408897,0.0014773432073530363,2.501662359194501,0.8292823544550907,2.50166235874233,0.829282356136682,2.5016623561749243,0.8292823557346719,2.489329304390364,0.8534041753455031,3.3132546296296295,0.9496104746327891
74042416,train,2,5,3,-82.00250000000003,38.58916666666668,30912.516300000007,285.3579435345218,0.3228657990815715,285.3579435345218,0.3228657990815715,0.0596448384072966,0.02316719674558588,285.8707960938587,0.32975071057986616,285.8707959795232,0.32975070883745417,285.8707957925984,0.3297507084134566,285.3877290524928,0.32407622866513786,357.78375347222214,0.5049711512910084
74053484,train,2,5,3,-83.12583333333335,36.536666666666676,3443.8185999999996,32.518610508352495,0.5025255458020431,32.518610508352495,0.5025255458020431,0.08070307392509493,0.05479663645049251,32.53700057894888,0.5112473707352421,32.53700056333948,0.511247369795998,32.53700054647455,0.5112473690502469,32.52039187487307,0.5040496437033597,39.85901157407407,0.7199058508704866
74042606,train,2,5,3,-84.19916666666668,38.53500000000001,5097.6717,47.11087519513635,0.4476272118071026,47.11087519513635,0.4476272118071026,0.06071321722331977,0.031627379759047704,47.19260011380361,0.45286767537567985,47.19260009473788,0.452867674017928,47.192600064203816,0.452867673453144,47.115674054226346,0.44839929950479135,59.00082986111109,0.6451657201442317
74006267,holdout,1,1,-1,-108.38916666666667,46.86166666666667,587.5609999999999,8.657500992590812,1.110372664443373,,,0.06042617065327453,0.01857786836410027,8.648065087594363,1.1044374743589533,8.648065089029235,1.1044374768340297,8.64806508666506,1.1044374782522712,8.655714607159132,1.1095550083657924,6.800474537037037,0.8101195116011974
